Model,Mode,Seed,Traj_RMSE (%),Traj_MAE (%),Traj_R2,EOL_MAE (Cycles),EOL_MAPE (%),EOL_R2,Time (s)
CNN,Base,9,7.31741338968277,5.472356081008911,-0.291894793510437,1729.367039489746,319.119244203405,-88.88260831844356,0.3794492244720459
CNN,Phys,0,6.098495423793793,4.516556113958359,0.10265916585922241,1304.1355735065104,235.8631419521294,-59.44900158097349,0.25382845401763915
CNN,Phys,1,7.146281003952026,5.588129535317421,-0.23217427730560303,1576.2716415405273,287.5221074917778,-78.47858498591043,0.2542509317398071
CNN,Phys,2,7.315334677696228,5.149370804429054,-0.2911609411239624,1663.334022981492,311.29302342747474,-84.12197579299988,0.2607463598251343
CNN,Phys,3,5.706715956330299,3.969857469201088,0.21424973011016846,1080.2736425410276,199.13316842117757,-44.952326514368146,0.2605846881866455
CNN,Phys,4,6.256277114152908,4.571729525923729,0.05562615394592285,1294.7769271850586,233.0520038776094,-59.34882919070044,0.3551220178604126
CNN,Phys,5,8.820497989654541,6.324431300163269,-0.8771466016769409,1587.8264782499587,301.53460732274834,-78.59781887474976,0.20464301109313965
CNN,Phys,6,6.285710632801056,4.393864795565605,0.04671943187713623,1288.476783546345,233.79254070123653,-55.80910839009459,0.27497272491455077
CNN,Phys,7,8.885826915502548,6.43792599439621,-0.9050556421279907,1395.3543280467443,252.86058021588497,-65.7759014680731,0.2899440288543701
CNN,Phys,8,12.347495555877686,8.72943252325058,-2.6784915924072266,1501.1279199299663,289.1097261826387,-75.3486182105849,0.27327399253845214
CNN,Phys,9,7.384923845529556,5.267777666449547,-0.31584274768829346,1613.7832870483398,301.92136008734656,-81.02779312889096,0.32687089443206785
LSTM,Base,0,6.0843296349048615,4.2857825756073,0.1068231463432312,1543.5052583489316,280.7595012794484,-77.90731083439309,1.3491148710250855
LSTM,Base,1,5.786854401230812,4.001597315073013,0.1920265555381775,1300.7588851623382,239.5588466041958,-55.288454331637375,1.8743464469909668
LSTM,Base,2,7.948274910449982,6.25554546713829,-0.5242555141448975,1729.367039489746,319.119244203405,-88.88260831844356,0.8371333599090576
LSTM,Base,3,6.1794281005859375,4.517395049333572,0.07868409156799316,1628.566639289646,306.42514174418795,-81.9752728061307,2.738235902786255
LSTM,Base,4,8.640401065349579,6.899343430995941,-0.801274299621582,1729.367039489746,319.119244203405,-88.88260831844356,0.6274917364120484
LSTM,Base,5,6.222601234912872,4.752637445926666,0.06576544046401978,1494.4996057728877,280.0324585531615,-70.46132532031683,2.88274564743042
LSTM,Base,6,8.344374597072601,6.6589877009391785,-0.6799625158309937,1729.367039489746,319.119244203405,-88.88260831844356,0.8584820985794067
